file	sha256	source	config	command	bc_sha256	dosbox	made_by
chain-p-evt.obj	50ec82e3342de01632ec73ec7dd325c8db40225338f1858ac535043297071692	suite/chain.bas	p-evt	BC /O /FPi /G2 /V /W CHAIN.BAS, F10.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-p-g2-zd.obj	004ca316f0e6041dfcb8841ce40f122f7228e8d81b589fb54f19171bf129816c	suite/chain.bas	p-g2	BC /O /FPi /G2 /Zd CHAIN.BAS, F07.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-p-g2.obj	25ae23a67e9eeeb077e0a9828d1ac42f457ca411d4a8eb1459bd3e14252b8279	suite/chain.bas	p-g2	BC /O /FPi /G2 CHAIN.BAS, F06.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-p-noO.obj	d1db8ee130a524e5bd99fb54169ee5e2bbc74f1655e04276c2712c4829259c3c	suite/chain.bas	p-noO	BC /FPi /G2 CHAIN.BAS, F09.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-p-ot.obj	25ae23a67e9eeeb077e0a9828d1ac42f457ca411d4a8eb1459bd3e14252b8279	suite/chain.bas	p-ot	BC /O /FPi /G2 /Ot CHAIN.BAS, F08.OBJ;	3112bcc99a8d4d9e28bd16085a4592c3f251fea0dfaf0aa63ca4525d7611028d	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-q-O-zd.obj	2f1e0ba906387571966e2a333a45e66068c21bdd523a5d93b3de6724e15e4a39	suite/chain.bas	q-O	BC /O /FPi /Zd CHAIN.BAS, F12.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-q-O.obj	13ad3218648943732eb2873605421f58c69a555c6361639788a1c6701a4d9970	suite/chain.bas	q-O	BC /O /FPi CHAIN.BAS, F11.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-q-evt.obj	b1d71a725ca5f897c11289eafac8f0e16ebbf26afd716c79f0f5ea34c5514f39	suite/chain.bas	q-evt	BC /O /FPi /V /W CHAIN.BAS, F14.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-q-noO.obj	6f57e93b17b07d11588273f9b13982668ccd4724f186665b3e443e823372db69	suite/chain.bas	q-noO	BC /FPi CHAIN.BAS, F13.OBJ;	de21556c94b588bfca06388a45f6e22362a7c9e153571f5a27c4f95b6740f5fa	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-v-evt.obj	30c2d74a9d2db4986cc2cb02fb21ce4596bb720a017a54b2edceb173edbfbf46	suite/chain.bas	v-evt	BC /O /FPi /R /G3 /E /V /W CHAIN.BAS, F05.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-v-g2.obj	7ef7ec9285d4513c5c0d770da842ef1d292fd8f9c16b35846a46bf09d77efc1e	suite/chain.bas	v-g2	BC /O /FPi /R /G2 /E CHAIN.BAS, F02.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
chain-v-g3-zd.obj	27cedee5f0156b62c7ac0f76973b347b590c772040c97054fb7dcb29eb345dae	suite/chain.bas	v-g3	BC /O /FPi /R /G3 /E /Zd CHAIN.BAS, F01.OBJ;	fa8a089bb6ec4a5dcd81705d704929e7c41894efcc09dc453e7e0311f9331efb	DOSBox-X version 2026.06.02 SDL2, copyright 2011-2026 The DOSBox-X Team.	tools/mkfixtures.py
