# Generated by the legacy parser; one manifest case identity per line.
# case-id	dialect	source
qb45/text-screen-capture	QuickBasic45	qb45/q45l00.bas
qb45/numeric	QuickBasic45	qb45/q45n01.bas
qb45/control	QuickBasic45	qb45/q45c02.bas
qb45/procedures	QuickBasic45	qb45/q45p04.bas
qb45/arrays	QuickBasic45	qb45/q45a05.bas
qb45/dynamicarrays	QuickBasic45	qb45/q45d06.bas
qb45/strings	QuickBasic45	qb45/q45s07.bas
qb45/udt	QuickBasic45	qb45/q45u08.bas
qb45/data	QuickBasic45	qb45/q45d09.bas
qb45/files	QuickBasic45	qb45/q45f10.bas
qb45/errors	QuickBasic45	qb45/q45e11.bas
qb45/memory	QuickBasic45	qb45/q45m12.bas
qb45/operators	QuickBasic45	qb45/q45o29.bas
qb45/intrinsics	QuickBasic45	qb45/q45i30.bas
qb45/conversions	QuickBasic45	qb45/q45cv36.bas
qb45/math-functions	QuickBasic45	qb45/q45mt37.bas
qb45/string-parts	QuickBasic45	qb45/q45st38.bas
qb45/file-positions	QuickBasic45	qb45/q45fi39.bas
qb45/signed-array-bounds	QuickBasic45	qb45/q45ar40.bas
qb45/numeric-functions	QuickBasic45	qb45/q45nf41.bas
qb45/character-functions	QuickBasic45	qb45/q45ch42.bas
qb45/text-conversions	QuickBasic45	qb45/q45tc43.bas
qb45/binary-packing	QuickBasic45	qb45/q45pk44.bas
qb45/arithmetic-operators	QuickBasic45	qb45/q45ao45.bas
qb45/relational-operators	QuickBasic45	qb45/q45rl46.bas
qb45/logical-operators	QuickBasic45	qb45/q45lg47.bas
qb45/operator-precedence	QuickBasic45	qb45/q45pr48.bas
qb45/string-mutation	QuickBasic45	qb45/q45sm50.bas
qb45/divide-by-zero-error	QuickBasic45	qb45/q45er51.bas
qb45/subscript-error	QuickBasic45	qb45/q45er52.bas
qb45/rounding-ties	QuickBasic45	qb45/q45rn54.bas
qb45/binary-file-io	QuickBasic45	qb45/q45bi55.bas
qb45/loop-forms	QuickBasic45	qb45/q45lp57.bas
qb45/random-sequences	QuickBasic45	qb45/q45rd60.bas
qb45/floating-packing	QuickBasic45	qb45/q45fp61.bas
qb45/negative-square-root	QuickBasic45	qb45/q45er62.bas
qb45/string-justification	QuickBasic45	qb45/q45lr63.bas
qb45/reset-files	QuickBasic45	qb45/q45rs65.bas
qb45/clear-state	QuickBasic45	qb45/q45cl66.bas
qb45/environment	QuickBasic45	qb45/q45ev70.bas
qb45/explicit-let	QuickBasic45	qb45/q45le71.bas
qb45/command-line	QuickBasic45	qb45/q45cm72.bas
qb45/shell-child	QuickBasic45	qb45/q45pc73.bas
qb45/tangent-function	QuickBasic45	qb45/q45tn74.bas
qb45/include	QuickBasic45	qb45/q45i33.bas
qb45/staticdynamic	QuickBasic45	qb45/q45s34.bas
qb45/resume	QuickBasic45	qb45/q45r35.bas
qb45/bload	QuickBasic45	qb45/q45b19.bas
qb45/draw	QuickBasic45	qb45/q45d25.bas
qb45/absolute	QuickBasic45	qb45/q45a27.bas
qb45/memorymodel	QuickBasic45	qb45/q45m28.bas
pds71/pds-huge-array	Pds71	pds71/pdhuge.bas
pds71/pds-row-major-array	Pds71	pds71/pdrow.bas
pds71/pds-far-string	Pds71	pds71/pdfar.bas
pds71/pds-currency	Pds71	pds71/pdcur.bas
pds71/pds-runtime-check	Pds71	pds71/pdrtc.bas
pds71/pds-quick-call	Pds71	pds71/pdqcall.bas
pds71/pds-local-error	Pds71	pds71/pdlocal.bas
pds71/pds-mbf	Pds71	pds71/pdmbf.bas
pds71/pds-fpa	Pds71	pds71/pdfpa.bas
pds71/pds-interrupt	Pds71	pds71/reference/pdintr.bas
pds71/pds-switch-g3-rejected	Pds71	pds71/pdg3neg.bas
vbdos/underscore_identifiers	VbDos	vbdos/underid.bas
vbdos/g2_byval_long	VbDos	vbdos/g3long.bas
vbdos/g3_byval_long	VbDos	vbdos/g3long.bas
vbdos/vga_framebuffer_bsave	VbDos	vbdos/vgabsave.bas
vbdos/interruptx_abi_surface	VbDos	vbdos/intxabi.bas
vbdos/absolute_abi_surface	VbDos	vbdos/absabi.bas
vbdos/segmented_memory	VbDos	vbdos/segmem.bas
vbdos/string_far_address	VbDos	vbdos/sseg.bas
vbdos/local_error	VbDos	vbdos/locerr.bas
vbdos/interrupt_abi	VbDos	vbdos/intabi.bas
vbdos/cdecl_alias_external	VbDos	vbdos/cdeclabi.bas
vbdos/timer_event_surface	VbDos	vbdos/timerevt.bas
vbdos/qrender_shape	VbDos	vbdos/qrender.bas
vbdos/option_explicit_negative	VbDos	vbdos/optexp.bas
vbdos/dialog_surface	VbDos	vbdos/dialog.bas
vbdos/financial-functions	VbDos	vbdos/finabi.bas
vbdos/date_serial_surface	VbDos	vbdos/dateser.bas
